publications2	entries	PMID
https://doi.org/10.1016/j.mpdhp.2016.02.005	27102;27105	None
https://doi.org/10.1016/j.nmd.2012.06.124	5601;32268;45398	None
https://doi.org/10.1016/j.xhgg.2021.100028	106110;106169	33912852
https://doi.org/10.1016/j.xhgg.2021.100033	6922;24458;28515;39607	34527963
https://doi.org/10.1016/j.xhgg.2021.100034	80755;81048;101153	35047835
https://doi.org/10.1016/j.xhgg.2023.100198	70366;77960	37181331
https://doi.org/10.1038/nn.3688  https://doi.org/10.1002/ana.24255	1252	 24686783;25154462
https://doi.org/10.1053/j.gastro.2017.11.120	33157;41994;46189	None
https://doi.org/10.1093/brain/awp325	1253	20110243
https://doi.org/10.1093/brain/awt361	21669	24480483
https://doi.org/10.1093/qjmed/89.5.355	68392;92537;98370	None
https://doi.org/10.1101/2020.04.30.071274	11136	33324374
https://doi.org/10.1101/2020.05.02.20084673	10876	32511656
https://doi.org/10.1101/2020.05.04.07591	59043	None
https://doi.org/10.1101/2020.05.04.075911	11283	None
https://doi.org/10.1101/2020.05.12.091314	11337	33293627
https://doi.org/10.1101/2020.05.13.093690	11297;11300;11336	32771700
https://doi.org/10.1101/2020.09.10.20190314	86607	33833410
https://doi.org/10.1101/2020.10.12.20211474	14698;44457;54575;56828;57619	35288587
https://doi.org/10.1101/2021.12.03.21267240	10310	36333503
https://doi.org/10.1101/499988	11162;11301	32499645
